Pathway,proteincounts.per.pahtway.all,counts,p_value,FDR,Enrich_factor,hited.proteins,Type
proteasome complex [GO:0000502],9,2,0.3372468254274641,0.8917003210494665,0.222,Q8VWK0/Q8GYA6,CC
"proton-transporting V-type ATPase, V1 domain [GO:0033180]",1,1,0.7650000000000001,0.8917003210494665,1,Q8W4E2,CC
oligosaccharyltransferase complex [GO:0008250],1,1,0.7650000000000001,0.8917003210494665,1,Q93Z16,CC
nucleolus [GO:0005730],51,7,0.02711416463655958,0.8917003210494665,0.137,Q949S9/Q9SKD9/Q39189/Q6NLH0/F4K4Y5/Q9LUG5/Q9SMM8,CC
chloroplast outer membrane [GO:0009707],5,2,0.6644590185996676,0.8917003210494665,0.4,Q94EH2/Q9FK13,CC
pollen tube [GO:0090406],13,2,0.15258414410636867,0.8917003210494665,0.154,Q94FL7/Q6NLF4,CC
"cortical microtubule, transverse to long axis [GO:0010005]",3,3,0.9870854796767753,0.9870854796767753,1,Q9C9X0/Q9SJW3/Q9T041,CC
cytoskeleton [GO:0005856],7,2,0.4827772996950015,0.8917003210494665,0.286,Q9FF75/Q8S8M5,CC
nuclear envelope [GO:0005635],8,1,0.11679340685874628,0.8917003210494665,0.125,Q9FF75,CC
nuclear inner membrane [GO:0005637],1,1,0.7650000000000001,0.8917003210494665,1,Q9FF75,CC
nucleoplasm [GO:0005654],11,3,0.5022355184012318,0.8917003210494665,0.273,Q9FN02/Q9FFG0/Q9FKB5,CC
elongator holoenzyme complex [GO:0033588],2,1,0.5851350675337672,0.8917003210494665,0.5,Q9FNA4,CC
nuclear speck [GO:0016607],7,1,0.15283602092546367,0.8917003210494665,0.143,Q9LNC5,CC
extracellular space [GO:0005615],5,1,0.26160073848893006,0.8917003210494665,0.2,Q9LNN7,CC
cytoplasmic side of plasma membrane [GO:0009898],1,1,0.7650000000000001,0.8917003210494665,1,Q9LVM5,CC
extrinsic component of cytoplasmic side of plasma membrane [GO:0031234],1,1,0.7650000000000001,0.8917003210494665,1,Q9LVM5,CC
early endosome membrane [GO:0031901],4,1,0.3421723945110777,0.8917003210494665,0.25,Q9LVP9,CC
ER to Golgi transport vesicle membrane [GO:0012507],1,1,0.7650000000000001,0.8917003210494665,1,Q9LVP9,CC
late endosome membrane [GO:0031902],2,2,0.9448649324662332,0.9748606446080185,1,Q9LVP9/Q93Y31,CC
SNARE complex [GO:0031201],1,1,0.7650000000000001,0.8917003210494665,1,Q9LVP9,CC
nucleosome [GO:0000786],6,1,0.19997048932111194,0.8917003210494665,0.167,Q9LZT0,CC
fatty acid elongase complex [GO:0009923],1,1,0.7650000000000001,0.8917003210494665,1,Q9M2U2,CC
cytosolic ribosome [GO:0022626],28,3,0.024297932103579667,0.8917003210494665,0.107,Q9MAM3/Q9T051/P49201,CC
preprophase band [GO:0009574],2,1,0.5851350675337672,0.8917003210494665,0.5,Q9SJW3,CC
spindle microtubule [GO:0005876],1,1,0.7650000000000001,0.8917003210494665,1,Q9SJW3,CC
chloroplast membrane [GO:0031969],18,2,0.051834342955325186,0.8917003210494665,0.111,Q9SLD2/Q9LZB8,CC
lipid droplet [GO:0005811],4,1,0.3421723945110777,0.8917003210494665,0.25,Q9SLD2,CC
early endosome [GO:0005769],6,3,0.8538730871429621,0.9399588146711707,0.5,Q9SZF7/Q9FY61/F4JKQ7,CC
late endosome [GO:0005770],7,2,0.4827772996950015,0.8917003210494665,0.286,Q9SZF7/Q93VM8,CC
Cul4-RING E3 ubiquitin ligase complex [GO:0080008],3,1,0.44749068227807576,0.8917003210494665,0.333,Q9XF57,CC
peroxisomal matrix [GO:0005782],4,1,0.3421723945110777,0.8917003210494665,0.25,Q9XF57,CC
Golgi medial cisterna [GO:0005797],6,1,0.19997048932111194,0.8917003210494665,0.167,Q9XGM8,CC
ribonucleoprotein complex [GO:1990904],14,2,0.12373619737726438,0.8917003210494665,0.143,Q9ZUU4/Q8W463,CC
thylakoid [GO:0009579],15,1,0.01769612445291091,0.8917003210494665,0.067,Q9ZUU4,CC
plastoglobule [GO:0010287],4,1,0.3421723945110777,0.8917003210494665,0.25,Q9ZVN2,CC
secretory vesicle [GO:0099503],14,3,0.32567182448099385,0.8917003210494665,0.214,F4J270/Q9ZVA2/Q56XB0,CC
cortical endoplasmic reticulum [GO:0032541],1,1,0.7650000000000001,0.8917003210494665,1,O22227,CC
centriole [GO:0005814],1,1,0.7650000000000001,0.8917003210494665,1,O23184,CC
actin cytoskeleton [GO:0015629],2,1,0.5851350675337672,0.8917003210494665,0.5,O49606,CC
cyclin-dependent protein kinase holoenzyme complex [GO:0000307],1,1,0.7650000000000001,0.8917003210494665,1,Q39071,CC
endomembrane system [GO:0012505],8,1,0.11679340685874628,0.8917003210494665,0.125,Q500V2,CC
"RNA polymerase II, core complex [GO:0005665]",4,2,0.763445545579071,0.8917003210494665,0.5,Q6NLH0/O81097,CC
RNA polymerase V complex [GO:0000419],3,2,0.8604238380451487,0.9399588146711707,0.667,Q6NLH0/O81097,CC
mitochondrial matrix [GO:0005759],12,3,0.43798690356237846,0.8917003210494665,0.25,Q8S528/Q94K73/Q9FLE4,CC
lysosomal membrane [GO:0005765],3,1,0.44749068227807576,0.8917003210494665,0.333,Q93Y31,CC
mitochondrial outer membrane [GO:0005741],5,2,0.6644590185996676,0.8917003210494665,0.4,Q94CK3/Q9FKM2,CC
pore complex [GO:0046930],2,1,0.5851350675337672,0.8917003210494665,0.5,Q9FKM2,CC
mediator complex [GO:0016592],10,3,0.5709318781091713,0.8917003210494665,0.3,Q9LE42/Q8RWA2/Q8RWM3,CC
mitochondrial inner membrane [GO:0005743],29,5,0.15271459336708404,0.8917003210494665,0.172,Q9SBB2/Q9FLE4/Q9SG91/Q9SRP6/Q9FGK0,CC
Golgi trans cisterna [GO:0000138],4,2,0.763445545579071,0.8917003210494665,0.5,Q9SIY7/Q3EC77,CC
ribonuclease MRP complex [GO:0000172],1,1,0.7650000000000001,0.8917003210494665,1,Q9ZW76,CC
ribonuclease P complex [GO:0030677],1,1,0.7650000000000001,0.8917003210494665,1,Q9ZW76,CC
trans-Golgi network membrane [GO:0032588],3,1,0.44749068227807576,0.8917003210494665,0.333,F4JN05,CC
cytoplasmic vesicle membrane [GO:0030659],4,2,0.763445545579071,0.8917003210494665,0.5,O80685/Q9M115,CC
"proton-transporting two-sector ATPase complex, catalytic domain [GO:0033178]",1,1,0.7650000000000001,0.8917003210494665,1,P0CAN7,CC
cytosolic small ribosomal subunit [GO:0022627],14,2,0.12373619737726438,0.8917003210494665,0.143,P49201/Q8LPJ7,CC
chloroplast thylakoid lumen [GO:0009543],4,1,0.3421723945110777,0.8917003210494665,0.25,P81760,CC
P-body [GO:0000932],7,4,0.9427856087861533,0.9748606446080185,0.571,Q6ICX4/Q9FH22/Q9FKW2/Q9LUZ4,CC
Golgi transport complex [GO:0017119],3,1,0.44749068227807576,0.8917003210494665,0.333,Q6NMI3,CC
ribosome [GO:0005840],10,1,0.06817130367994761,0.8917003210494665,0.1,Q8W463,CC
COPI-coated vesicle membrane [GO:0030663],1,1,0.7650000000000001,0.8917003210494665,1,Q9CAA0,CC
membrane coat [GO:0030117],1,1,0.7650000000000001,0.8917003210494665,1,Q9CAA0,CC
cytoplasmic stress granule [GO:0010494],3,2,0.8604238380451487,0.9399588146711707,0.667,Q9FKW2/Q9LUZ4,CC
COPII vesicle coat [GO:0030127],4,1,0.3421723945110777,0.8917003210494665,0.25,Q9LUG1,CC
respiratory chain complex III [GO:0045275],2,1,0.5851350675337672,0.8917003210494665,0.5,Q9SG91,CC
RNA polymerase I complex [GO:0005736],1,1,0.7650000000000001,0.8917003210494665,1,Q9SVY0,CC
transcription factor TFIID complex [GO:0005669],1,1,0.7650000000000001,0.8917003210494665,1,Q9SYZ9,CC
U4/U6 x U5 tri-snRNP complex [GO:0046540],2,1,0.5851350675337672,0.8917003210494665,0.5,Q9FE62,CC
clathrin-coated pit [GO:0005905],4,1,0.3421723945110777,0.8917003210494665,0.25,Q9LVD8,CC
clathrin-coated vesicle [GO:0030136],5,1,0.26160073848893006,0.8917003210494665,0.2,Q9LVD8,CC
calcium ion binding [GO:0005509],31,9,0.7070503934751128,0.8373272727272728,0.29,A4GNA8/O49717/Q06850/Q38870/Q8GV50/Q9M092/Q9T051/O23184/Q9ZQE6,MF
phosphatidylserine decarboxylase activity [GO:0004609],1,1,0.7650000000000001,0.8373272727272728,1,A4GNA8,MF
ATP binding [GO:0005524],248,62,0.6994916706360996,0.8373272727272728,0.25,F4HW51/F4IHS2/F4KHI3/O49543/O49717/O49840/P27323/P42644/P84634/P92947/Q06850/Q07970/Q38870/Q42556/Q43128/Q6STH5/Q84P21/Q8L796/Q8VYB2/Q8W4E2/Q93Z30/Q944Q0/Q945K7/Q949P3/Q9LFL6/Q9M092/Q9S750/F4I2H2/F4KA50/O04533/O23081/O65483/O81292/O82359/P41377/Q39189/Q6R2K2/Q84M95/Q8VYJ7/Q8VZJ9/Q94C77/Q94K73/Q9FID9/Q9LFN6/Q9LPZ3/Q9M0F9/Q9SBB2/Q9SLI2/F4HPP7/O65595/Q0WN69/Q3EBR4/Q8GY87/Q8W5R6/Q9C813/Q9LZB8/Q9LZU5/Q9M1B9/Q9SJU0/Q9STK6/Q9ZQ88/F4J0B7,MF
ATP hydrolysis activity [GO:0016887],51,13,0.5790409661573586,0.8373272727272728,0.255,F4HW51/F4IHS2/F4KHI3/P27323/Q42556/Q43128/P41377/Q39189/Q8VYJ7/Q9LFN6/Q9C813/Q9LZB8/F4J0B7,MF
ATP-dependent chromatin remodeler activity [GO:0140658],8,3,0.7157062406025481,0.8373272727272728,0.375,F4HW51/F4IHS2/F4I2H2,MF
DNA binding [GO:0003677],135,40,0.9464206674870854,0.9722615048246167,0.296,F4HW51/F4IHS2/O24646/O49596/O82230/O82268/Q38847/Q38874/Q38895/Q6X7J5/Q7XJU0/Q8GZ13/Q8W2F3/Q94C69/Q94F88/Q94FL7/Q9LSD5/Q9LSI7/Q9LZK4/Q9LZT0/Q9SAK5/F4HNU8/F4I2H2/Q700W2/Q8S8C6/Q9FFG0/Q9LTF7/F4K4Y5/Q6IDS6/Q9FGP8/Q9FKW2/Q9LG02/Q9LUZ4/Q9SMM8/Q9SVU7/Q9SVY0/Q9C7P4/Q9FMR3/Q9STJ7/Q9ZR14,MF
helicase activity [GO:0004386],11,4,0.7541221706636753,0.8373272727272728,0.364,F4HW51/F4IHS2/P84634/F4I2H2,MF
metal ion binding [GO:0046872],243,58,0.529699267775179,0.8373272727272728,0.239,F4HW51/F4HZD1/F4JCU0/P84634/Q0WX00/Q38895/Q42556/Q43128/Q52K88/Q6STH5/Q8H113/Q8L7U5/Q8S4Y1/Q8S948/Q949P3/Q9FGS4/Q9FN02/Q9LXD7/Q9S750/Q9XGM8/F4J1H7/O23244/O82089/Q500V2/Q56Y85/Q700W2/Q84K35/Q96519/Q96522/Q9FG05/Q9LHA7/Q9LIF4/Q9LQN6/Q9LZ86/Q9M0F9/Q9SIV9/F4KBY0/O81716/Q6IDS6/Q84TF5/Q84VY3/Q8GW10/Q8S904/Q9FH22/Q9FKW2/Q9LFP5/Q9LUZ4/Q9SHY8/Q9SJU0/Q9SRP6/Q9SSL1/Q9SVQ6/Q9SVY0/O22704/Q8L8C0/Q9C5K7/Q9C7P4/Q9LQM3,MF
histone binding [GO:0042393],7,4,0.9427856087861533,0.9722615048246167,0.571,F4HZD1/F4IHS2/Q9SZI2/Q9SMM8,MF
protein homodimerization activity [GO:0042803],30,9,0.7425055378259493,0.8373272727272728,0.3,F4HZD1/O65896/Q38847/Q38874/Q8H1R0/Q94EH2/Q9C690/Q9FGS4/Q8S8C6,MF
transcription cis-regulatory region binding [GO:0000976],65,18,0.7502581804633488,0.8373272727272728,0.277,F4HZD1/O24646/Q9C690/Q9C9L2/Q9FRV4/Q9LSD5/Q9M1R4/Q9SKD9/Q9SZF7/C0SUW7/O23077/Q84M95/Q9LDL7/Q9SZ06/P49592/Q9C8N7/Q9SCM4/Q9LQM3,MF
ubiquitin conjugating enzyme binding [GO:0031624],1,1,0.7650000000000001,0.8373272727272728,1,F4HZD1,MF
ubiquitin protein ligase activity [GO:0061630],12,3,0.43798690356237846,0.8373272727272728,0.25,F4HZD1/Q6IDS6/Q9ZQ34,MF
chromatin binding [GO:0003682],10,4,0.8102941119788122,0.8679662907673398,0.4,F4IHS2/O49596/Q94F88/Q9SMM8,MF
RNA binding [GO:0003723],52,9,0.10541771417221968,0.8373272727272728,0.173,F4JCU0/F4JXF1/P84634/Q38874/Q39189/Q84MA3/Q9FNN9/Q9LIA4/Q9LUZ4,MF
calmodulin-lysine N-methyltransferase activity [GO:0018025],1,1,0.7650000000000001,0.8373272727272728,1,F4JNX3,MF
hydrolase activity [GO:0016787],16,5,0.683945553994777,0.8373272727272728,0.312,F4JXF1/Q52K88/Q949P3/F4I2H2/Q9FN79,MF
ADP binding [GO:0043531],12,1,0.0397662924073755,0.8373272727272728,0.083,F4KHI3,MF
NAD+ nucleosidase activity [GO:0003953],4,1,0.3421723945110777,0.8373272727272728,0.25,F4KHI3,MF
"NAD+ nucleotidase, cyclic ADP-ribose generating [GO:0061809]",5,1,0.26160073848893006,0.8373272727272728,0.2,F4KHI3,MF
metalloendopeptidase activity [GO:0004222],9,3,0.6427405482700633,0.8373272727272728,0.333,O04529/Q9ZUJ5/Q9SRP6,MF
metallopeptidase activity [GO:0008237],3,1,0.44749068227807576,0.8373272727272728,0.333,O04529,MF
zinc ion binding [GO:0008270],77,15,0.16223638175088506,0.8373272727272728,0.195,O04529/O22446/O49543/O65896/Q2LAE1/Q941D6/Q945K7/Q94C69/Q9ZUJ5/Q6NLH0/Q9LE42/Q9LUG1/Q9SCM4/A1L4Y2/Q9FH04,MF
histone deacetylase activity [GO:0004407],2,2,0.9448649324662332,0.9722615048246167,1,O22446/Q941D6,MF
DNA-binding transcription factor activity [GO:0003700],157,41,0.7624137657033501,0.8373272727272728,0.261,O24646/O49596/Q38847/Q38874/Q38895/Q6X7J5/Q7XJU0/Q8GXW1/Q8GZ13/Q8W2F3/Q94FL7/Q9C690/Q9C9L2/Q9FRV4/Q9LSD5/Q9LSI7/Q9LZK4/Q9M1R4/Q9SAK5/Q9SKD9/Q9SZF7/Q6J9S1/Q700W2/Q9FG05/Q9LDL7/Q9SZ06/P49592/Q38840/Q8H181/Q9C8N7/Q9FGP8/Q9FKW2/Q9LG02/Q9LUZ4/Q9M0R0/Q9SVU7/Q6NNN0/Q9FMR3/Q9LQM3/Q9M160/Q9STJ7,MF
"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]",10,2,0.27882556225703725,0.8373272727272728,0.2,O24646/Q38874,MF
double-stranded DNA binding [GO:0003690],2,1,0.5851350675337672,0.8373272727272728,0.5,O24646,MF
cysteine desulfurase activity [GO:0031071],2,1,0.5851350675337672,0.8373272727272728,0.5,O49543,MF
iron-sulfur cluster binding [GO:0051536],4,3,0.9574021305112264,0.9801974193329221,0.75,O49543/Q6STH5/Q8L8C0,MF
pyridoxal phosphate binding [GO:0030170],10,2,0.27882556225703725,0.8373272727272728,0.2,O49543/Q8GYY0,MF
structural constituent of chromatin [GO:0030527],5,2,0.6644590185996676,0.8373272727272728,0.4,O49596/Q9LZT0,MF
calcium-dependent protein serine/threonine kinase activity [GO:0009931],1,1,0.7650000000000001,0.8373272727272728,1,O49717,MF
calcium/calmodulin-dependent protein kinase activity [GO:0004683],1,1,0.7650000000000001,0.8373272727272728,1,O49717,MF
calmodulin binding [GO:0005516],19,4,0.31341671532680815,0.8373272727272728,0.211,O49717/Q9LD40/Q9LPZ3/Q8H181,MF
histone H2AS1 kinase activity [GO:0044024],63,14,0.3549388830010297,0.8373272727272728,0.222,O49717/O49840/Q06850/Q38870/Q944Q0/F4KA50/O04533/O81292/Q84M95/Q8VZJ9/Q9LPZ3/Q9SLI2/Q3EBR4/Q9STK6,MF
protein serine kinase activity [GO:0106310],77,17,0.3378279798840699,0.8373272727272728,0.221,O49717/O49840/Q06850/Q38870/Q944Q0/Q9M092/F4KA50/O04533/O23081/O65483/O81292/Q84M95/Q8VZJ9/Q9LPZ3/Q9SLI2/Q3EBR4/Q9STK6,MF
cytidine deaminase activity [GO:0004126],2,1,0.5851350675337672,0.8373272727272728,0.5,O65896,MF
NAD+-protein poly-ADP-ribosyltransferase activity [GO:0003950],2,1,0.5851350675337672,0.8373272727272728,0.5,O82289,MF
ATP-dependent protein folding chaperone [GO:0140662],8,1,0.11679340685874628,0.8373272727272728,0.125,P27323,MF
unfolded protein binding [GO:0051082],6,1,0.19997048932111194,0.8373272727272728,0.167,P27323,MF
GTP binding [GO:0005525],28,8,0.6715857967957019,0.8373272727272728,0.286,P31582/Q8VYB2/Q9C5J9/Q9LNC5/Q93Y31/Q9FE79/Q9FLE4/O49513,MF
GTPase activity [GO:0003924],21,7,0.7954971354592851,0.8613116466663482,0.333,P31582/Q9C5J9/Q9LNC5/Q93Y31/Q9FE79/Q9FLE4/O49513,MF
hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420],1,1,0.7650000000000001,0.8373272727272728,1,P43256,MF
ribonuclease III activity [GO:0004525],2,1,0.5851350675337672,0.8373272727272728,0.5,P84634,MF
monodehydroascorbate reductase (NADH) activity [GO:0016656],2,1,0.5851350675337672,0.8373272727272728,0.5,P92947,MF
fumarate hydratase activity [GO:0004333],1,1,0.7650000000000001,0.8373272727272728,1,P93033,MF
protein kinase activity [GO:0004672],28,5,0.1764285353784235,0.8373272727272728,0.179,Q06850/Q93Z30/Q944Q0/Q6R2K2/Q9STK6,MF
protein serine/threonine kinase activity [GO:0004674],33,7,0.31148187547257344,0.8373272727272728,0.212,Q06850/Q9LFL6/Q9M092/O23081/O65483/Q9FID9/Q9LPZ3,MF
microtubule binding [GO:0008017],20,7,0.8315944427350594,0.8876238555434499,0.35,Q07970/Q9C9X0/Q9T041/Q0WN69/Q8W5R6/Q9LZU5/Q9SJU0,MF
minus-end-directed microtubule motor activity [GO:0008569],1,1,0.7650000000000001,0.8373272727272728,1,Q07970,MF
methyltransferase activity [GO:0008168],5,4,0.9877199934865933,0.991012393464882,0.8,Q0WPN7/Q84JF5/Q3EC77/Q8GYW9,MF
transferase activity [GO:0016740],15,3,0.27808578546561336,0.8373272727272728,0.2,Q0WX00/Q9SBB2/Q84TF5,MF
enzyme inhibitor activity [GO:0004857],6,2,0.5697519843280208,0.8373272727272728,0.333,Q1JPL7/O48711,MF
pectinesterase activity [GO:0030599],6,2,0.5697519843280208,0.8373272727272728,0.333,Q1JPL7/O48711,MF
rRNA N-glycosylase activity [GO:0030598],1,1,0.7650000000000001,0.8373272727272728,1,Q1JPL7,MF
toxin activity [GO:0090729],1,1,0.7650000000000001,0.8373272727272728,1,Q1JPL7,MF
histone H3K4 methyltransferase activity [GO:0042800],1,1,0.7650000000000001,0.8373272727272728,1,Q2LAE1,MF
SUMO binding [GO:0032183],3,1,0.44749068227807576,0.8373272727272728,0.333,Q2LAE1,MF
RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977],7,2,0.4827772996950015,0.8373272727272728,0.286,Q38847/Q38840,MF
sequence-specific DNA binding [GO:0043565],36,6,0.11672942203099823,0.8373272727272728,0.167,Q38847/Q8GXW1/Q9LSD5/Q9SKD9/Q9SZF7/Q6J9S1,MF
mRNA binding [GO:0003729],88,15,0.051802183030609905,0.8373272727272728,0.17,Q42556/Q94C69/Q9ZUU4/O23212/P41377/Q9LFN6/P49201/Q6ICX4/Q8W463/Q9FLD8/A3KPF8/O64624/O82221/Q8LPJ7/Q9LQM3,MF
P-type proton-exporting transporter activity [GO:0008553],3,2,0.8604238380451487,0.9087283342161043,0.667,Q42556/Q43128,MF
ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829],1,1,0.7650000000000001,0.8373272727272728,1,Q43128,MF
P-type ion transporter activity [GO:0015662],1,1,0.7650000000000001,0.8373272727272728,1,Q43128,MF
"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]",2,1,0.5851350675337672,0.8373272727272728,0.5,Q4VCM1,MF
phosphatidate-sterol O-acyltransferase activity [GO:0080096],1,1,0.7650000000000001,0.8373272727272728,1,Q4VCM1,MF
phosphatidylcholine-sterol O-acyltransferase activity [GO:0004607],1,1,0.7650000000000001,0.8373272727272728,1,Q4VCM1,MF
phosphatidylethanolamine-sterol O-acyltransferase activity [GO:0080095],1,1,0.7650000000000001,0.8373272727272728,1,Q4VCM1,MF
bis(5'-adenosyl)-pentaphosphatase activity [GO:0034432],1,1,0.7650000000000001,0.8373272727272728,1,Q52K88,MF
ATP-dependent FeS chaperone activity [GO:0140663],2,1,0.5851350675337672,0.8373272727272728,0.5,Q6STH5,MF
peptidyl-prolyl cis-trans isomerase activity [GO:0003755],6,2,0.5697519843280208,0.8373272727272728,0.333,Q7DMA9/Q9M2S7,MF
protein dimerization activity [GO:0046983],27,7,0.5439767421994742,0.8373272727272728,0.259,Q7XJU0/Q8GZ13/Q8W2F3/Q38840/Q9M0R0/Q9SVU7/Q9STJ7,MF
identical protein binding [GO:0042802],19,5,0.526901448668183,0.8373272727272728,0.263,Q84JW1/Q944Q0/Q9LVM5/Q9S750/Q9SZI2,MF
damaged DNA binding [GO:0003684],2,2,0.9448649324662332,0.9722615048246167,1,Q84L31/Q9FNY7,MF
polyubiquitin modification-dependent protein binding [GO:0031593],2,1,0.5851350675337672,0.8373272727272728,0.5,Q84L31,MF
proteasome binding [GO:0070628],2,1,0.5851350675337672,0.8373272727272728,0.5,Q84L31,MF
ubiquitin binding [GO:0043130],6,1,0.19997048932111194,0.8373272727272728,0.167,Q84L31,MF
protein domain specific binding [GO:0019904],7,2,0.4827772996950015,0.8373272727272728,0.286,Q84MB5/O82089,MF
serine-type endopeptidase activity [GO:0004252],18,3,0.16761287400496316,0.8373272727272728,0.167,Q84MB5/Q9C9C0/F4JA91,MF
CoA-ligase activity [GO:0016405],1,1,0.7650000000000001,0.8373272727272728,1,Q84P21,MF
decanoate-CoA ligase activity [GO:0102391],2,1,0.5851350675337672,0.8373272727272728,0.5,Q84P21,MF
phospholipase A2 activity [GO:0004623],3,1,0.44749068227807576,0.8373272727272728,0.333,Q8GV50,MF
carbohydrate binding [GO:0030246],33,7,0.31148187547257344,0.8373272727272728,0.212,Q8GWH3/Q945P1/O04533/O81292/Q9LPZ3/Q9ZVA2/Q9LNN1,MF
"oxidoreductase activity, acting on iron-sulfur proteins as donors [GO:0016730]",2,1,0.5851350675337672,0.8373272727272728,0.5,Q8GYC7,MF
dioxygenase activity [GO:0051213],6,4,0.9699775849533898,0.9891166390024153,0.667,Q8H113/Q9LIF4/F4KBY0/Q9C5K7,MF
abscisic acid binding [GO:0010427],1,1,0.7650000000000001,0.8373272727272728,1,Q8H1R0,MF
protein phosphatase inhibitor activity [GO:0004864],1,1,0.7650000000000001,0.8373272727272728,1,Q8H1R0,MF
signaling receptor activity [GO:0038023],2,1,0.5851350675337672,0.8373272727272728,0.5,Q8H1R0,MF
NAD(P)H dehydrogenase (quinone) activity [GO:0003955],1,1,0.7650000000000001,0.8373272727272728,1,Q8L540,MF
quinone binding [GO:0048038],7,3,0.7871886959105686,0.8553927706465023,0.429,Q8L540/P56756/Q37165,MF
1-phosphatidylinositol-3-phosphate 5-kinase activity [GO:0000285],1,1,0.7650000000000001,0.8373272727272728,1,Q8L796,MF
1-phosphatidylinositol-4-phosphate 5-kinase activity [GO:0016308],3,1,0.44749068227807576,0.8373272727272728,0.333,Q8L796,MF
myosin phosphatase activity [GO:0017018],18,5,0.5787087770273065,0.8373272727272728,0.278,Q8L7U5/Q9FN02/Q9LQN6/Q9LZ86/O81716,MF
4-amino-4-deoxychorismate synthase activity [GO:0046820],1,1,0.7650000000000001,0.8373272727272728,1,Q8LPN3,MF
adenosine nucleosidase activity [GO:0047622],1,1,0.7650000000000001,0.8373272727272728,1,Q8RY23,MF
inosine nucleosidase activity [GO:0047724],1,1,0.7650000000000001,0.8373272727272728,1,Q8RY23,MF
sodium:proton antiporter activity [GO:0015385],1,1,0.7650000000000001,0.8373272727272728,1,Q8S396,MF
acetyl-CoA C-acetyltransferase activity [GO:0003985],1,1,0.7650000000000001,0.8373272727272728,1,Q8S4Y1,MF
all-trans-nonaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific) activity [GO:0052924],1,1,0.7650000000000001,0.8373272727272728,1,Q8S948,MF
farnesyltranstransferase activity [GO:0004311],1,1,0.7650000000000001,0.8373272727272728,1,Q8S948,MF
cytidine kinase activity [GO:0043771],1,1,0.7650000000000001,0.8373272727272728,1,Q8VYB2,MF
uracil phosphoribosyltransferase activity [GO:0004845],1,1,0.7650000000000001,0.8373272727272728,1,Q8VYB2,MF
uridine kinase activity [GO:0004849],1,1,0.7650000000000001,0.8373272727272728,1,Q8VYB2,MF
3-hydroxyacyl-CoA dehydratase activity [GO:0018812],1,1,0.7650000000000001,0.8373272727272728,1,Q8VZB2,MF
very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase activity [GO:0102158],1,1,0.7650000000000001,0.8373272727272728,1,Q8VZB2,MF
anaphase-promoting complex binding [GO:0010997],1,1,0.7650000000000001,0.8373272727272728,1,Q8VZS9,MF
ubiquitin-protein transferase activator activity [GO:0097027],1,1,0.7650000000000001,0.8373272727272728,1,Q8VZS9,MF
promoter-specific chromatin binding [GO:1990841],4,2,0.763445545579071,0.8373272727272728,0.5,Q8W2F3/Q9LZK4,MF
actin filament binding [GO:0051015],1,1,0.7650000000000001,0.8373272727272728,1,Q8W4E2,MF
"proton-transporting ATPase activity, rotational mechanism [GO:0046961]",4,2,0.763445545579071,0.8373272727272728,0.5,Q8W4E2/P0CAN7,MF
protein serine/threonine/tyrosine kinase activity [GO:0004712],2,1,0.5851350675337672,0.8373272727272728,0.5,Q93Z30,MF
alpha-tubulin binding [GO:0043014],1,1,0.7650000000000001,0.8373272727272728,1,Q941D6,MF
beta-tubulin binding [GO:0048487],2,1,0.5851350675337672,0.8373272727272728,0.5,Q941D6,MF
deacetylase activity [GO:0019213],1,1,0.7650000000000001,0.8373272727272728,1,Q941D6,MF
protein lysine deacetylase activity [GO:0033558],1,1,0.7650000000000001,0.8373272727272728,1,Q941D6,MF
protein phosphatase 2A binding [GO:0051721],1,1,0.7650000000000001,0.8373272727272728,1,Q941D6,MF
tubulin deacetylase activity [GO:0042903],1,1,0.7650000000000001,0.8373272727272728,1,Q941D6,MF
isocitrate dehydrogenase (NAD+) activity [GO:0004449],1,1,0.7650000000000001,0.8373272727272728,1,Q945K7,MF
magnesium ion binding [GO:0000287],14,5,0.7848002256435249,0.8553927706465023,0.357,Q945K7/Q84UV0/O23651/O65595/Q9C8J4,MF
NAD binding [GO:0051287],8,2,0.4051343193924861,0.8373272727272728,0.25,Q945K7/Q9CA90,MF
pantothenate kinase activity [GO:0004594],1,1,0.7650000000000001,0.8373272727272728,1,Q949P3,MF
CYP79F1 dihomomethionine monooxygenase activity [GO:0103096],1,1,0.7650000000000001,0.8373272727272728,1,Q949U1,MF
CYP79F1 trihomomethionine monooxygenase activity [GO:0103097],1,1,0.7650000000000001,0.8373272727272728,1,Q949U1,MF
heme binding [GO:0020037],28,10,0.9015836010866587,0.9455632889445446,0.357,Q949U1/O64697/Q96519/Q96522/Q9LHA7/Q9FIB0/Q9SCN2/O22704/Q9FG65/Q9LTM1,MF
iron ion binding [GO:0005506],18,7,0.8940225192034883,0.9409118121687062,0.389,Q949U1/O64697/P56756/Q9FIB0/Q9SCN2/Q9FG65/Q9LTM1,MF
